公司名称,公司类型,工作地点,招聘类型,招聘对象,岗位(大都不限专业),投递进度,更新时间,投递截止,相关链接,招聘公告,内推码,备注
网络空间研究院,事业单位,北京,春招,2025年毕业生,审计学,未投递,2025-07-17,招满为止,https://mp.weixin.qq.com/s/c2vussnFER8ZFChJc_SEmQ,https://mp.weixin.qq.com/s/c2vussnFER8ZFChJc_SEmQ,-,-
中节能太阳能股份,央国企,北京,春招,2025年毕业生,电力交易策略工程师,未投递,2025-07-17,招满为止,https://mp.weixin.qq.com/s/4XeXN7QGCzKXHf1xjbTQig,https://mp.weixin.qq.com/s/4XeXN7QGCzKXHf1xjbTQig,-,-
